team_id,country,continent,fifa_code
1,Abkhazia,Unknown,ABK
2,Afghanistan,Unknown,AFG
3,Albania,Unknown,ALB
4,Alderney,Unknown,ALD
5,Algeria,Unknown,ALG
6,Ambazonia,Unknown,AMB
7,American Samoa,Unknown,AME
8,Andalusia,Unknown,AND
9,Andorra,Unknown,AND
10,Angola,Unknown,ANG
11,Anguilla,Unknown,ANG
12,Antigua and Barbuda,Unknown,ANT
13,Arameans Suryoye,Unknown,ARA
14,Argentina,South America,ARG
15,Armenia,Unknown,ARM
16,Artsakh,Unknown,ART
17,Aruba,Unknown,ARU
18,Asturias,Unknown,AST
19,Australia,Unknown,AUS
20,Austria,Unknown,AUS
21,Aymara,Unknown,AYM
22,Azerbaijan,Unknown,AZE
23,Bahamas,Unknown,BAH
24,Bahrain,Unknown,BAH
25,Bangladesh,Unknown,BAN
26,Barawa,Unknown,BAR
27,Barbados,Unknown,BAR
28,Basque Country,Unknown,BAS
29,Belarus,Unknown,BEL
30,Belgium,Unknown,BEL
31,Belize,Unknown,BEL
32,Benin,Unknown,BEN
33,Bermuda,Unknown,BER
34,Bhutan,Unknown,BHU
35,Biafra,Unknown,BIA
36,Bolivia,Unknown,BOL
37,Bonaire,Unknown,BON
38,Bosnia and Herzegovina,Unknown,BOS
39,Botswana,Unknown,BOT
40,Brazil,South America,BRA
41,British Virgin Islands,Unknown,BRI
42,Brittany,Unknown,BRI
43,Brunei,Unknown,BRU
44,Bulgaria,Unknown,BUL
45,Burkina Faso,Unknown,BUR
46,Burundi,Unknown,BUR
47,Cambodia,Unknown,CAM
48,Cameroon,Unknown,CAM
49,Canada,Unknown,CAN
50,Canary Islands,Unknown,CAN
51,Cape Verde,Unknown,CAP
52,Cascadia,Unknown,CAS
53,Catalonia,Unknown,CAT
54,Cayman Islands,Unknown,CAY
55,Central African Republic,Unknown,CEN
56,Central Spain,Unknown,CEN
57,Chad,Unknown,CHA
58,Chagos Islands,Unknown,CHA
59,Chameria,Unknown,CHA
60,Chechnya,Unknown,CHE
61,Chile,Unknown,CHI
62,China PR,Unknown,CHI
63,Cilento,Unknown,CIL
64,Colombia,Unknown,COL
65,Comoros,Unknown,COM
66,Congo,Unknown,CON
67,Cook Islands,Unknown,COO
68,Corsica,Unknown,COR
69,Costa Rica,Unknown,COS
70,County of Nice,Unknown,COU
71,Crimea,Unknown,CRI
72,Croatia,Unknown,CRO
73,Cuba,Unknown,CUB
74,Curaçao,Unknown,CUR
75,Cyprus,Unknown,CYP
76,Czech Republic,Unknown,CZE
77,Czechoslovakia,Unknown,CZE
78,DR Congo,Unknown,DR 
79,Darfur,Unknown,DAR
80,Denmark,Unknown,DEN
81,Djibouti,Unknown,DJI
82,Dominica,Unknown,DOM
83,Dominican Republic,Unknown,DOM
84,Donetsk PR,Unknown,DON
85,Délvidék,Unknown,DÉL
86,Ecuador,Unknown,ECU
87,Egypt,Unknown,EGY
88,El Salvador,Unknown,EL 
89,Elba Island,Unknown,ELB
90,Ellan Vannin,Unknown,ELL
91,England,Unknown,ENG
92,Equatorial Guinea,Unknown,EQU
93,Eritrea,Unknown,ERI
94,Estonia,Unknown,EST
95,Eswatini,Unknown,ESW
